experimenter,location,study_name,SID,age_group,Order #,1: correct answer,1: child's answer,1 (ambiguous),2: correct answer,2: child's answer,2 (inference),3: correct answer,3: child's answer,3 (ambiguous),4: correct answer,4: child's answer,4 (inference),5: correct answer,5: child's answer,5 (ambiguous),6: correct answer,6: child's answer,6 (inference),7: correct answer,7: child's answer,7 (ambiguous),8: correct answer,8: child's answer,8 (inference),Notes
Sarah James,CDM,INFO_REP,2014_4_3_31,3.6,3,left,left,TRUE,right,right,TRUE,right,right,TRUE,left,right,FALSE,right,right,TRUE,right,left,FALSE,left,left,TRUE,left,left,TRUE,
Janelle Klaas,CDM,INFO_REP,2014_4_17_32,4.0,4,right,right,TRUE,right,right,TRUE,left,left,TRUE,right,left,FALSE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,right,FALSE,
Andrew Weaver,CDM,INFO_REP,2014_4_19_34,3.9,4,right,left,FALSE,right,right,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,right,FALSE,right,right,TRUE,left,right,FALSE,
Andrew Weaver,CDM,INFO_REP,2014_4_20_36,3.4,4,right,right,TRUE,right,right,TRUE,left,left,TRUE,right,right,TRUE,left,right,FALSE,left,left,TRUE,right,right,TRUE,left,right,FALSE,
Andrew Weaver,CDM,INFO_REP,2014_4_27_37,3.4,4,right,left,FALSE,right,right,TRUE,left,left,TRUE,right,left,FALSE,left,left,TRUE,left,right,FALSE,right,right,TRUE,left,right,FALSE,
Andrew Weaver,CDM,INFO_REP,2014_4_27_38,4.3,4,right,left,FALSE,right,left,FALSE,left,right,FALSE,right,left,FALSE,left,left,TRUE,left,left,TRUE,right,left,FALSE,left,left,TRUE,
Andrew Weaver,CDM,INFO_REP,2014_4_27_39,4.4,4,right,right,TRUE,right,left,FALSE,left,right,FALSE,right,left,FALSE,left,right,FALSE,left,right,FALSE,right,left,FALSE,left,right,FALSE,
Andrew Weaver,CDM,INFO_REP,2014_5_17_40,3.1,4,right,left,FALSE,right,left,FALSE,left,right,FALSE,right,right,TRUE,left,right,FALSE,left,right,FALSE,right,right,TRUE,left,right,FALSE,
Andrew Weaver,CDM,INFO_REP,2014_5_17_41,3.6,4,right,right,TRUE,right,right,TRUE,left,right,FALSE,right,right,TRUE,left,right,FALSE,left,right,FALSE,right,right,TRUE,left,right,FALSE,
Andrew Weaver,CDM,INFO_REP,2014_5_17_42,4.1,4,right,right,TRUE,right,left,FALSE,left,right,FALSE,right,left,FALSE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,right,FALSE,
Andrew Weaver,CDM,INFO_REP,2014_5_17_43,3.6,4,right,right,TRUE,right,right,TRUE,left,left,TRUE,right,left,FALSE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,
Andrew Weaver,CDM,INFO_REP,2014_6_19_44,4.5,4,right,right,TRUE,right,right,TRUE,left,left,TRUE,right,left,FALSE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,right,FALSE,
Andrew Weaver,CDM,INFO_REP,2014_6_19_45,3.1,3,left,left,TRUE,right,right,TRUE,right,left,FALSE,left,left,TRUE,right,left,FALSE,right,right,TRUE,left,left,TRUE,left,left,TRUE,
Andrew Weaver,CDM,INFO_REP,2014_6_19_46,4.9,4,right,left,FALSE,right,right,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,right,FALSE,
Andrew Weaver,CDM,INFO_REP,2014_6_19_47,4.5,3,left,right,FALSE,right,right,TRUE,right,right,TRUE,left,left,TRUE,right,left,FALSE,right,left,FALSE,left,left,TRUE,left,right,FALSE,
Andrew Weaver,CDM,INFO_REP,2014_6_19_48,4.7,3,left,left,TRUE,right,right,TRUE,right,right,TRUE,left,left,TRUE,right,right,TRUE,right,left,FALSE,left,left,TRUE,left,left,TRUE,
Andrew Weaver,CDM,INFO_REP,2014_6_19_49,4.0,3,left,left,TRUE,right,left,FALSE,right,right,TRUE,left,left,TRUE,right,right,TRUE,right,right,TRUE,left,left,TRUE,left,left,TRUE,
Andrew Weaver,CDM,INFO_REP,2014_6_19_50,4.2,3,left,left,TRUE,right,right,TRUE,right,right,TRUE,left,left,TRUE,right,right,TRUE,right,right,TRUE,left,left,TRUE,left,left,TRUE,
Andrew Weaver,CDM,INFO_REP,2014_6_19_51,4.2,3,left,right,FALSE,right,right,TRUE,right,left,FALSE,left,left,TRUE,right,left,FALSE,right,left,FALSE,left,right,FALSE,left,left,TRUE,
Andrew Weaver,CDM,INFO_REP,2014_6_19_52,4.6,3,left,left,TRUE,right,left,FALSE,right,right,TRUE,left,left,TRUE,right,right,TRUE,right,left,FALSE,left,left,TRUE,left,right,FALSE,
