experimenter,location,study_name,SID,age_group,Order #,1: correct answer,1: child's answer,1 (ambiguous),2: correct answer,2: child's answer,2 (inference),3: correct answer,3: child's answer,3 (ambiguous),4: correct answer,4: child's answer,4 (inference),5: correct answer,5: child's answer,5 (ambiguous),6: correct answer,6: child's answer,6 (inference),7: correct answer,7: child's answer,7 (ambiguous),8: correct answer,8: child's answer,8 (inference),Notes
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_13_28,4.2,2,right,left,FALSE,left,left,TRUE,left,left,TRUE,right,left,FALSE,left,left,TRUE,left,left,TRUE,right,left,FALSE,right,left,FALSE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_13_29,4.5,2,right,left,FALSE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,right,FALSE,right,right,TRUE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_13_30,5.0,2,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,right,TRUE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_15_33,3.4,2,right,right,TRUE,left,right,FALSE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,right,TRUE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_15_34,4.5,2,right,left,FALSE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,right,FALSE,right,left,FALSE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_15_35,4.6,2,right,right,TRUE,left,right,FALSE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,left,FALSE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_15_36,4.9,2,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,right,TRUE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_15_38,3.1,2,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,right,FALSE,left,left,TRUE,right,left,FALSE,right,left,FALSE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_20_39,3.6,2,right,right,TRUE,left,right,FALSE,left,right,FALSE,right,right,TRUE,left,right,FALSE,left,left,TRUE,right,right,TRUE,right,left,FALSE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_20_40,3.4,2,right,left,FALSE,left,left,TRUE,left,right,FALSE,right,right,TRUE,left,right,FALSE,left,left,TRUE,right,left,FALSE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_22_41,4.0,1,left,right,FALSE,left,left,TRUE,right,left,FALSE,left,right,FALSE,right,right,TRUE,right,right,TRUE,left,left,TRUE,right,left,FALSE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_22_42,4.1,1,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,right,right,TRUE,right,left,FALSE,left,left,TRUE,right,right,TRUE,
